#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         706     3.32048     3.26467  0.00324504
         707     3.31755     3.26475  0.00324131
         708     3.31092     3.26481  0.00323739
         709       3.304     3.26487  0.00323329
         710     3.31718     3.26494  0.00322958
         711     3.32476     3.26503  0.00322613
         712     3.32222     3.26511   0.0032226
         713      3.3224     3.26519  0.00321908
         714     3.32732     3.26527  0.00321575
         715     3.33114     3.26537  0.00321257
         716     3.33366     3.26546   0.0032095
         717     3.32362     3.26554  0.00320605
         718     3.30419      3.2656  0.00320204
         719     3.32037     3.26567  0.00319849
         720     3.34099     3.26578  0.00319576
         721     3.34233     3.26588  0.00319309
         722     3.33783     3.26598  0.00319022
         723     3.33734     3.26608  0.00318733
         724      3.3389     3.26618  0.00318452
